,quarter,cash_cycle,net_profit,profit_growth_(%),revenue,revenue_growth_(%),market_capital,eps_(vnd),p/e,p/b,p/s,p/cash_flow,outstanding_share,ev/ebitda,bvps_(vnd),cash_ratio,dept/equity,roe_(%),roa_(%),days_sales_outstanding,days_inventory_outstanding,quick_ratio,days_payable_outstanding,gross_profit_margin_(%),ebit_margin_(%),net_profit_margin_(%),current_ratio,asset_turnover,(st_+_lt_borrowings)/equity,financial_leverage,roic_(%),interest_coverage,fixed_asset_turnover,symbol,net_interest_income,net_interest_income_growth_(%)
10,Q2 2019,59.2105829936,131699043390,2.5970409772169414,2438667426222.0,0.050263271291348124,2602239635200.0,781.7308331305,5.8849810348,0.8980922699,0.275725132,26.6150254956,171199976.0,7.4104940342,16924.7643138571,0.0785509905,1.5917858375,0.1632973755,0.0576333264,46.6926361265,40.5987881492,0.9188825103,28.0808412821,0.1199219485,0.0833758297,0.05419637,1.611163435,0.2975543738,1.3008446888,2.8333845282,0.098806027,2.8823470747,1.1317012107,AAA,,
11,Q3 2019,56.0379753731,63700407693,0.48462754924238327,2367421386693.0,0.0816986254722857,2157119697600.0,373.8043619865,4.6798341048,0.7501183892,0.2243382549,7.7087607141,171199976.0,6.4157637756,16797.3485014098,0.0736984231,1.4725650746,0.1653537221,0.0579786797,49.2285391058,32.7670634927,0.9096026264,25.9576272254,0.0844166238,0.0428163772,0.0269439442,1.6244471391,0.2902730548,1.1768894803,2.8519746049,0.0972108693,1.9037185727,1.1069138484,AAA,,
12,Q4 2019,61.5129883507,58905123997,0.14373480412088188,1837237323176.0,-0.1686567492377503,2114319703600.0,344.0720341982,4.5916964941,0.722375891,0.2283757797,4.3207499278,171199976.0,6.3976059681,17096.3623699924,0.1269103649,1.4465089474,0.1628411071,0.0580680958,49.3638519052,45.2962392241,0.770718693,33.1471027786,0.0962755557,0.0529877147,0.0321317566,1.542036545,0.2301876799,1.1548303571,2.8043128489,0.094919119,1.9449115078,0.871347655,AAA,,
13,Q1 2020,60.1775474293,58484466803,-0.7267559403068036,1573567523917.0,-0.39863122077948865,2323199736000.0,341.6149240757,6.0714678924,0.7915434268,0.2833239018,1.8704328051,211199976.0,8.1605233501,13896.9001917453,0.0941318365,1.3969033827,0.1074597371,0.0390403953,38.9157186019,53.9923242808,0.7980591523,32.7304954534,0.1136934241,0.0525191957,0.0371956409,1.4870798224,0.1995572028,1.1585009851,2.7525268714,0.0680199125,1.634434671,0.7628605976,AAA,,
14,Q2 2020,37.5469056511,67684300148,-0.48606839954359676,1813708066994.0,-0.25627084386664045,2406095717900.0,395.3522759139,8.4360766474,0.8000974137,0.3174116743,1.5777671277,221759974.0,9.4413735851,13560.8487348217,0.0843876958,1.4020819468,0.0846692563,0.0316074349,29.0446284809,33.3978645921,0.8141244867,24.8955874219,0.1012736473,0.0510705411,0.037382332,1.3685491743,0.2328019717,1.136715024,2.6787765796,0.0534431669,1.7258565079,0.8990054712,AAA,,
15,Q3 2020,29.9753685493,78565203153,0.23335479313790142,1929838085125.0,-0.18483540954204639,2705471682800.0,437.3372852807,8.8017822734,0.764188015,0.3787405761,2.0539564826,221759974.0,9.6438912586,15964.6575980749,0.0854856816,1.0687022269,0.0849258811,0.0332131988,26.7327953179,25.9592099583,0.879145245,22.7166367269,0.1075216698,0.0566558243,0.0407674116,1.5043826638,0.2410036606,0.8741551987,2.5569919207,0.0537256099,2.225396119,0.8820003154,AAA,,
16,Q4 2020,31.4849037957,57706672925,-0.020345446892888915,2121135981877.0,0.15452476123782927,3614687576200.0,303.3929148279,13.783847967,0.7748049206,0.4865935025,5.9011578971,221759974.0,11.3368913682,21037.553539531,0.2557008609,1.1295400061,0.0802547007,0.0324696215,25.5392380078,27.5390859132,0.6981189009,21.5934201253,0.0979925016,0.0329926998,0.0272399588,1.1797629613,0.2525611772,0.8847820091,2.4716857477,0.048944267,1.4536578787,0.8999139682,AAA,,
17,Q1 2021,49.2927498968,75141819491,0.2848166974678745,2284373757361.0,0.45171638499161887,4792673580100.0,374.9093396021,13.2251361651,1.3120378683,0.5887930524,8.8415948312,296759974.0,12.4011023184,12309.0959415908,0.2352142353,1.223873912,0.0809084682,0.0330863586,28.4370516968,46.5268664048,0.9119812375,25.6711682048,0.1047010525,0.043133005,0.0329047337,1.2832228553,0.2573235032,0.9605728418,2.4453724056,0.0492769199,2.6079368096,0.9944161285,AAA,,
18,Q2 2021,41.6722902155,86326563080,0.27542964751406773,3269796291844.0,0.8028239226301115,5614673331200.0,365.3875605369,15.1403815172,1.1792791309,0.5852289839,27.6690357645,326434496.0,10.1664474205,14585.1813611543,0.5962980877,0.8499499685,0.075829856,0.0331227189,24.2148420625,35.5421035807,1.112980955,18.0846554277,0.1085583288,0.0391808894,0.0255326709,1.4724574393,0.3469130508,0.6532760983,2.2893608572,0.0511197516,2.8750178525,1.4503276096,AAA,,
19,Q3 2021,41.001233483,62514754147,-0.20429462868877105,3409264544303.0,0.7666065202989163,5679960230400.0,238.5264772528,17.4485730834,1.1999809244,0.5129095402,28.8968075516,326434496.0,11.7850868418,14500.2305001705,0.3786929639,0.879508836,0.0672888301,0.0301688561,28.3814124946,31.4072918516,1.1164654632,18.7874708632,0.0932608683,0.0213578742,0.0183479452,1.4366188461,0.3476816347,0.6063975431,2.2304070789,0.0449987318,2.2220048185,1.5479843927,AAA,,
