,ReportDataID,TermID,TermYear,TernDay,NormID,GroupName,NormGroupID,NormName,UnitCode,CssStyle,NormTypeID,FromSource,NormValue,ReportTime
40,72165,8,2023,2023-08-02 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.39,Jul-2023
41,72164,8,2023,2023-08-02 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,0.79,Jul-2023
42,72163,8,2023,2023-08-02 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.31,Jul-2023
43,72162,8,2023,2023-08-02 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,0.63,Jul-2023
44,72160,8,2023,2023-08-02 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,0.45,Jul-2023
45,71781,7,2023,2023-06-29 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.26,June-2023
46,71780,7,2023,2023-06-29 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.34,June-2023
47,71779,7,2023,2023-06-29 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,0.11,June-2023
48,71778,7,2023,2023-06-29 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.23,June-2023
49,71787,7,2023,2023-06-29 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,0.16,June-2023
50,71786,7,2023,2023-06-29 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.01,June-2023
51,71785,7,2023,2023-06-29 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.19,June-2023
52,71784,7,2023,2023-06-29 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,0.07,June-2023
53,71783,7,2023,2023-06-29 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,0.11,June-2023
54,71782,7,2023,2023-06-29 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,0.16,June-2023
55,71777,7,2023,2023-06-29 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.42,June-2023
56,71776,7,2023,2023-06-29 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,0.72,June-2023
57,71775,7,2023,2023-06-29 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.09,June-2023
58,71774,7,2023,2023-06-29 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,0.57,June-2023
59,71772,7,2023,2023-06-29 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,0.27,June-2023
60,71431,6,2023,2023-05-30 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.23,May-2023
61,71430,6,2023,2023-05-30 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.24,May-2023
62,71429,6,2023,2023-05-30 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,-0.1,May-2023
63,71428,6,2023,2023-05-30 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.17,May-2023
64,71437,6,2023,2023-05-30 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,-2.98,May-2023
65,71436,6,2023,2023-05-30 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.04,May-2023
66,71435,6,2023,2023-05-30 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.16,May-2023
67,71434,6,2023,2023-05-30 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,1.01,May-2023
68,71433,6,2023,2023-05-30 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,0.1,May-2023
69,71432,6,2023,2023-05-30 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,0.13,May-2023
70,71427,6,2023,2023-05-30 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.26,May-2023
71,71426,6,2023,2023-05-30 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,0.22,May-2023
72,71425,6,2023,2023-05-30 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.29,May-2023
73,71424,6,2023,2023-05-30 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,0.24,May-2023
74,71422,6,2023,2023-05-30 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,0.01,May-2023
75,71156,5,2023,2023-05-03 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.35,Apr-2023
76,71155,5,2023,2023-05-03 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,-0.45,Apr-2023
77,71154,5,2023,2023-05-03 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,-1.3,Apr-2023
78,71153,5,2023,2023-05-03 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.14,Apr-2023
79,71162,5,2023,2023-05-03 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,0.43,Apr-2023
80,71161,5,2023,2023-05-03 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.02,Apr-2023
81,71160,5,2023,2023-05-03 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,-0.08,Apr-2023
82,71159,5,2023,2023-05-03 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,-0.83,Apr-2023
83,71158,5,2023,2023-05-03 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,-0.08,Apr-2023
